Image1,Image2,Method,Layer,Similarity
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv1_1,0.781420
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv1_2,0.974295
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv2_1,0.915330
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv2_2,0.932184
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv3_1,0.918341
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv3_2,0.888221
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv3_3,0.927993
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv3_4,0.967246
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv4_1,0.941123
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv4_2,0.929793
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv4_3,0.935783
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv4_4,0.960950
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv5_1,0.869340
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv5_2,0.869655
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv5_3,0.817512
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,gram,conv5_4,0.922038
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv1_1,0.240524
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv1_2,0.310915
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv2_1,0.303792
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv2_2,0.198115
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv3_1,0.303493
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv3_2,0.279295
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv3_3,0.311364
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv3_4,0.483221
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv4_1,0.494509
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv4_2,0.500490
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv4_3,0.531496
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv4_4,0.645170
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv5_1,0.505961
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv5_2,0.544475
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv5_3,0.557640
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,conv,conv5_4,0.731687
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,fc,fc1,0.561418
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,fc,fc2,0.590096
federico-zandomeneghi_woman-leaning-on-a-chair_heatmap,william-merritt-chase_girl-with-tambourine_heatmap,fc,fc3,0.291668
