Image1,Image2,Method,Layer,Similarity
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv1_1,0.870265
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv1_2,0.933774
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv2_1,0.960081
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv2_2,0.958385
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv3_1,0.933343
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv3_2,0.929626
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv3_3,0.924029
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv3_4,0.964251
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv4_1,0.936008
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv4_2,0.928014
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv4_3,0.899259
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv4_4,0.953992
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv5_1,0.830821
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv5_2,0.848529
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv5_3,0.800214
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,gram,conv5_4,0.908178
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv1_1,0.445385
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv1_2,0.190408
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv2_1,0.200827
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv2_2,0.243618
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv3_1,0.328185
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv3_2,0.315356
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv3_3,0.284859
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv3_4,0.457759
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv4_1,0.487396
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv4_2,0.519531
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv4_3,0.513400
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv4_4,0.650052
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv5_1,0.507702
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv5_2,0.560581
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv5_3,0.557914
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,conv,conv5_4,0.739615
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,fc,fc1,0.482323
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,fc,fc2,0.437081
federico-zandomeneghi_woman-leaning-on-a-chair_hsv_saturation,william-merritt-chase_girl-with-tambourine_hsv_saturation,fc,fc3,0.225239
